Date,True_Daily_Cases,True_Cumulative_Cases,True_Daily_Pct_Positive,True_Daily_Cases_Chld,True_Cumulative_Cases_Chld,True_Daily_Pct_Positive_Chld,True_Daily_Hospitalization,True_Cumulative_Hospitalization,True_Daily_Fatality,True_Cumulative_Fatality,Mean_DSA_Cumulative,Low_DSA_Cumulative,High_DSA_Cumulative,Mean_DSA_Cumulative_Chld,Low_DSA_Cumulative_Chld,High_DSA_Cumulative_Chld,Mean_Daily_Cases_NoVac,Median_Daily_Cases_NoVac,High_Daily_Cases_NoVac,Low_Daily_Cases_NoVac,Mean_Cumulative_Cases_NoVac,High_Cumulative_Cases_NoVac,Low_Cumulative_Cases_NoVac,Mean_Cumulative_Cases_Children,Median_Cumulative_Cases_Children,High_Cumulative_Cases_Children,Low_Cumulative_Cases_Children,Mean_Daily_Children_NoVac,Median_Daily_Children_NoVac,High_Daily_Children_NoVac,Low_Daily_Children_NoVac,Mean_Cumulative_Cases_Children_NoVac,Median_Cumulative_Cases_Children_NoVac,High_Cumulative_Cases_Children_NoVac,Low_Cumulative_Cases_Children_NoVac,Mean_Daily_Hospitalization,High_Daily_Hospitalization,Low_Daily_Hospitalization,Mean_Cumulative_Hospitalization,High_Cumulative_Hospitalization,Low_Cumulative_Hospitalization,Mean_Daily_Fatality,High_Daily_Fatality,Low_Daily_Fatality,Mean_Cumulative_Fatality,High_Cumulative_Fatality,Low_Cumulative_Fatality,Mean_DSA_Daily_Hospitalization,High_DSA_Daily_Hospitalization,Low_DSA_Daily_Hospitalization,Mean_DSA_Cumulative_Hospitalization,High_DSA_Cumulative_Hospitalization,Low_DSA_Cumulative_Hospitalization,Mean_DSA_Daily_Fatality,High_DSA_Daily_Fatality,Low_DSA_Daily_Fatality,Mean_DSA_Cumulative_Fatality,High_DSA_Cumulative_Fatality,Low_DSA_Cumulative_Fatality,Diff_NoVac_Mean,Diff_NoVac_Low,Diff_NoVac_High,Diff_NoVac_Chld_Mean,Diff_NoVac_Chld_Low,Diff_NoVac_Chld_High,Diff_DSA_Mean,Diff_DSA_Low,Diff_DSA_High,Diff_DSA_Mean_Chld,Diff_DSA_Low_Chld,Diff_DSA_High_Chld,Diff_Mean_Hospitalization,Diff_Low_Hospitalization,Diff_High_Hospitalization,Diff_DSA_Mean_Hospitalization,Diff_DSA_Low_Hospitalization,Diff_DSA_High_Hospitalization,Diff_Mean_Fatality,Diff_Low_Fatality,Diff_High_Fatality,Diff_DSA_Mean_Fatality,Diff_DSA_Low_Fatality,Diff_DSA_High_Fatality
2021-01-08,8160,480338,0.0711923852066411,5149,326236,0.0695237709455719,91,11442,46,3657,472178.0,472178.0,472178.0,321087.0,321087.0,321087.0,12917.5788,12908.0,16039.25,9939.5,485095.5788,488217.25,482117.5,329433.176,329443.0,331424.0,327494.0,8346.176,8356.0,10337.0,6407.0,329433.176,329443.0,331424.0,327494.0,292.2811656634956,362.27524158802134,224.1970686458798,11643.28116566351,11713.27524158802,11575.19706864588,98.23917911852666,121.7650212519944,75.35530363221777,3709.239179118528,3732.7650212519943,3686.3553036322182,184.64352847701426,184.64352847702654,184.64352847702654,11535.643528476578,11535.643528477027,11535.643528477027,62.06088793287394,62.06088793287212,62.06088793287212,3673.06088793279,3673.060887932872,3673.060887932872,4757.5788000000175,1779.5,7879.25,3197.1759999999776,1258.0,5188.0,-8160.0,-8160.0,-8160.0,-5149.0,-5149.0,-5149.0,201.28116566350946,133.1970686458808,271.27524158802044,93.64352847657756,93.64352847702685,93.64352847702685,52.23917911852823,29.355303632218238,75.76502125199431,16.060887932790138,16.060887932871992,16.060887932871992
2021-01-09,5156,485494,0.0656681440725457,3267,329503,0.0654998195597257,101,11543,21,3678,481061.6496273696,475288.9829698788,488344.49952118454,324289.5255371447,322208.49880111945,326914.9682038931,12027.688,11294.5,16593.625,8163.5,497123.2668,504432.5,490655.875,337070.36,336621.0,341784.25,332953.375,7637.184,7155.0,10570.375,5193.125,337070.36,336621.0,341784.25,332953.375,282.1954111711856,364.6667260139915,209.780278439884,11925.476576834673,12075.698978660803,11787.040727202553,94.84923697201066,122.56882763599015,70.50964882532669,3804.088416090537,3854.5799536041186,3757.5584790774437,201.01818786164486,365.8136660188335,70.39495987627058,11736.661716338653,11901.457194495859,11606.038488353297,67.56460587733385,122.95432782488567,23.66058400180444,3740.625493810205,3796.0152157577577,3696.7214719346766,11629.266799999983,5161.875,18938.5,7567.359999999986,3450.375,12281.25,-4432.350372630404,-10205.017030121177,2850.499521184538,-5213.474462855316,-7294.501198880549,-2588.031796106894,382.4765768346733,244.04072720255317,532.6989786608028,193.6617163386527,63.038488353297,358.45719449585886,126.08841609053707,79.55847907744374,176.5799536041186,62.62549381020517,18.72147193467663,118.01521575775769
2021-01-10,6937,492431,0.0734377150358348,4277,333780,0.0719524915043235,140,11683,44,3722,490795.29364162934,478689.92627878685,506040.8060225802,327798.47116565285,323434.5273202547,333294.4266315715,19214.0404,16850.5,29914.125,10886.0,516337.3072,533745.375,501872.625,349158.4688,347311.0,360216.0,340038.75,12088.1088,10615.5,18891.75,6873.0,349158.4688,347311.0,360216.0,340038.75,333.0308519530515,463.9998342042991,224.40354808182988,12258.507428787743,12530.275242260894,12021.883272155797,111.93563376806264,155.95586776823916,75.42470382858878,3916.0240498585968,4007.3684471133247,3836.4918540211916,220.25176173191895,400.9056246233488,76.93464842066848,11956.913478070619,12301.887154474858,11682.994636969364,74.02923901317763,134.74915284942358,25.858651170566677,3814.6547328233833,3930.6044920578647,3722.5873495768565,23906.30719999998,9441.625,41314.375,15378.468799999973,6258.75,26436.0,-1635.7063583706622,-13741.07372121315,13609.80602258019,-5981.5288343471475,-10345.47267974529,-485.5733684285078,575.5074287877433,338.8832721557974,847.2752422608937,273.913478070619,-0.0053630306356353685,618.8871544748581,194.02404985859675,114.49185402119156,285.3684471133247,92.65473282338326,0.587349576856468,208.60449205786472
2021-01-11,9712,502143,0.0786428600348192,5932,339712,0.0735414445463787,130,11813,29,3751,501438.723987039,482397.34056757786,525433.012388662,331635.3916784761,324771.037587392,340285.2512041242,32054.6552,26536.0,55269.375,15445.875,548391.9624,588113.125,517666.75,370100.7008,364877.0,395639.0,350277.75,20942.232,17352.0,36169.0,10080.75,370100.7008,364877.0,395639.0,350277.75,431.13073220161584,655.7716173639775,257.8440241281192,12689.638160989343,13170.899141643898,12283.86867035885,144.90817130864494,220.41264695528037,86.66444590592278,4060.9322211672306,4222.689765735519,3924.548265052958,240.8383007445558,438.76322311985246,83.96506644578885,12197.75177881518,12740.691738836133,11766.885575181193,80.94861983917777,147.47354236406343,28.22165835948381,3895.6033526625624,4078.091936427537,3750.784092554478,46248.96239999996,15523.75,85970.125,30388.70079999999,10565.75,55927.0,-704.276012960996,-19745.659432422137,23290.01238866197,-8076.608321523876,-14940.962412607973,573.2512041241862,876.6381609893433,470.86867035885007,1357.8991416438985,384.75177881517993,-46.11442481880658,927.6917388361326,309.93222116723064,173.54826505295796,471.68976573551936,144.60335266256243,-0.21590744552213437,327.0919364275369
2021-01-12,9295,511438,0.0786731783286922,5753,345465,0.0730855226383454,119,11932,56,3807,513051.2945364745,486431.30974789674,546616.736100388,335821.68394532666,326225.269784509,347921.9116988847,37301.636,29717.5,68930.625,15774.375,585693.5984,656038.25,533599.875,394955.0896,385199.5,440803.125,360978.625,24854.3888,19910.5,45915.875,10506.125,394955.0896,385199.5,440803.125,360978.625,513.6895757704019,831.8767968916536,278.43157955932793,13203.327736759727,13988.103453247226,12567.365077342618,172.65718141937467,279.6036941650679,93.58416836230451,4233.589402586619,4497.36186293271,4019.834782204738,262.7678922715967,480.1248661607117,91.33675642095709,12460.519671086733,13220.034568789019,11858.165759399533,88.31941660307704,161.37568296249552,30.699371113341382,3983.92276926564,4239.204767711159,3781.4644490770797,74255.59840000002,22161.875,144600.25,49490.08960000001,15513.625,95338.125,1613.29453647451,-25006.69025210326,35178.73610038799,-9643.316054673342,-19239.73021549103,2456.91169888468,1271.3277367597275,635.365077342618,2056.103453247226,528.5196710867331,-73.83424060046673,1288.0345687890185,426.58940258661914,212.83478220473808,690.3618629327102,176.92276926564,-25.535550922920265,432.20476771115864
2021-01-13,9470,520908,0.079354438653237,5819,351284,0.0729389939708444,139,12071,57,3864,525690.76999847,490838.19897412136,569724.8101343891,340378.17194756086,327813.93839238305,356252.29395305726,43799.3608,35026.0,83144.625,16812.125,629492.9592,739184.375,551007.125,424231.7692,408568.0,496669.75,372603.0,29276.6796,23396.5,55519.625,11274.375,424231.7692,408568.0,496669.75,372603.0,593.2558826657355,1006.4665682120118,297.2082914806848,13796.58361942549,14979.024005589146,12869.876401861864,199.40036433075582,338.28539463683205,99.89524475859498,4432.989766917371,4830.422056574553,4121.512439495335,286.004576887453,521.7411662919214,99.22624802679992,12746.52424797418,13742.921373439303,11957.884334931088,96.12954291387024,175.3634168404534,33.35112315922187,4080.052312179505,4414.953247241632,3814.9810493713576,108584.95920000004,30099.125,218276.375,72947.76919999998,21319.0,145385.75,4782.769998469972,-30069.801025878638,48816.81013438909,-10905.828052439145,-23470.061607616954,4968.293953057262,1725.5836194254898,798.876401861864,2908.0240055891463,675.5242479741792,-113.11566506891177,1671.9213734393034,568.9897669173706,257.51243949533455,966.4220565745527,216.05231217950495,-49.018950628642415,550.9532472416322
2021-01-14,9295,530203,0.0763048582264764,5834,357118,0.0718986468166917,133,12204,59,3923,539411.9718430893,495593.4323697003,594956.5469611296,345324.61863905686,329528.18389093445,365348.24943572364,50138.0568,40707.0,95603.75,18070.625,679631.016,835439.5,569092.5,457628.0668,435174.5,560612.125,384661.75,33396.2976,27129.0,63702.75,11974.75,457628.0668,435174.5,560612.125,384661.75,670.5827032869075,1174.4166450963078,313.72105673073645,14467.166322712388,16132.404840924946,13190.841849539862,225.39082924636165,394.73541476916716,105.44538172845247,4658.380596163732,5218.087085271205,4229.392747258988,310.4817553352937,567.4986125941249,107.54636301797868,13057.006003309465,14313.862172127181,12065.485201707008,104.35661396853381,190.74303924302671,36.147612851089946,4184.408926148045,4606.853246206835,3851.1469815843075,149428.01599999995,38889.5,305236.5,100510.06679999997,27543.75,203494.125,9208.971843089326,-34609.567630299716,64753.54696112964,-11793.381360943138,-27589.81610906555,8230.249435723643,2263.166322712388,986.8418495398619,3928.4048409249463,853.0060033094651,-138.51479829299205,2109.862172127181,735.3805961637318,306.3927472589876,1295.087085271205,261.4089261480449,-71.85301841569253,683.8532462068351
2021-01-15,8427,538630,0.0846772978024296,5071,362189,0.0778405427808307,120,12324,51,3974,554265.4126608546,500678.09234300716,622149.3688017803,350679.2336372455,331361.1865525934,375151.1694094489,44739.772,37188.5,84399.875,15310.875,724370.788,921047.25,584852.375,486914.8524,459698.0,616558.25,394920.125,29286.7856,24371.0,55203.25,10032.75,486914.8524,459698.0,616558.25,394920.125,773.4501473243985,1404.1139056837783,328.5128232900819,15240.61647003681,17509.94380609062,13525.032527328607,259.96580172987325,471.93939838769063,110.41707055145372,4918.346397893618,5681.094329800485,4341.718212297089,336.10192679131944,615.2853438614281,116.42045275333378,13393.107930100807,14929.178173831211,12180.54029466991,112.96785857953182,206.80472847914513,39.13030004903659,4297.376784727586,4813.668279151832,3889.8183679544254,185740.78799999994,46222.375,382417.25,124725.85239999997,32731.125,254369.25,15635.412660854636,-37951.907656992844,83519.36880178028,-11509.766362754512,-30827.813447406574,12962.169409448921,2916.61647003681,1201.032527328607,5185.943806090621,1069.1079301008067,-143.4597053300895,2605.178173831211,944.3463978936179,367.71821229708894,1707.094329800485,323.3767847275858,-84.18163204557459,839.6682791518324
2021-01-16,5088,543718,0.0725044531528322,3203,365392,0.0706751985878199,93,12417,48,4022,570295.3311305711,506235.0948170319,651146.5592717722,356457.96483567747,333364.4670825024,385604.5581495342,33801.7856,29083.0,62396.75,11242.0,758172.5736,983499.75,596498.125,508744.2976,478841.0,656996.0,402515.375,21829.4452,18795.5,40374.5,7252.875,508744.2976,478841.0,656996.0,402515.375,843.8396726646563,1551.9426760210508,336.76513154919934,16084.456142701443,19060.764650916615,13865.949255907202,283.624559119431,521.6264078638839,113.19076959349908,5201.97095701304,6202.343676845338,4456.30438307312,362.72312591268957,666.014955496722,125.59921932833436,13755.83105601351,15585.323218475785,12306.283498660043,121.91556050516716,223.85555483923503,42.215392759686225,4419.292345232751,5034.20643946143,3932.0821556729475,214454.5736,52780.125,439781.75,143352.2976,37123.375,291604.0,26577.33113057108,-37482.90518296813,107428.55927177216,-8934.03516432253,-32027.53291749762,20212.55814953422,3667.4561427014432,1448.9492559072023,6643.764650916615,1338.8310560135105,-110.71650133995718,3168.3232184757853,1179.9709570130399,434.30438307312033,2180.3436768453385,397.29234523275136,-89.91784432705253,1012.2064394614299
2021-01-17,5648,549366,0.0901041749756712,3574,368966,0.0830892267633793,156,12573,58,4080,587537.3852680624,512195.76441211265,682738.1870837859,362673.6668280246,335513.26823939604,396993.2327451927,31901.9316,28646.0,57738.125,10325.25,790074.5052,1040405.25,607640.5,530633.9028,498435.5,695960.25,409881.625,21889.6052,19668.5,39611.375,7072.5,530633.9028,498435.5,695960.25,409881.625,884.8579881346868,1638.5925188458034,333.83482064996224,16969.314130836116,20694.03101048827,14214.243570158575,297.4113032343082,550.7504515241362,112.20585721760364,5499.382260247365,6751.303942834396,4573.3702482171575,390.1511904581152,716.3635801028677,134.96863735772723,14145.982246471602,16300.174888762936,12441.160835194532,131.13445950482054,240.77832692352735,45.36456569368771,4550.42680473756,5274.476595497997,3977.4160340730923,240708.5052,58274.5,491039.25,161667.90280000004,40915.625,326994.25,38171.38526806235,-37170.23558788735,133372.1870837859,-6292.333171975391,-33452.73176060396,28027.232745192712,4396.3141308361155,1641.2435701585746,8121.03101048827,1572.9822464716017,-131.8391648054676,3727.1748887629365,1419.3822602473647,493.3702482171575,2671.3039428343964,470.4268047375599,-102.5839659269077,1194.4765954979966
2021-01-18,10114,559480,0.1020729467331409,6028,374994,0.0882460583524865,131,12704,47,4127,606017.4163143489,518535.12464297214,716888.3448803728,369335.655293961,337798.58608510904,409304.2487159436,52733.4632,48796.5,93246.5,16814.125,842807.9684,1132580.75,624312.75,566988.9332,531619.5,759421.625,421435.75,36355.0304,33614.0,64248.875,11561.125,566988.9332,531619.5,759421.625,421435.75,951.6877258922752,1762.7210057462514,339.3499631573654,17921.00185672838,22482.262402387398,14557.379582276732,319.8735736413267,592.47151360709,114.05956226705166,5819.255833888676,7352.349800905201,4688.702346609371,418.1639875920464,768.9964094806712,144.58418348582563,14564.146234063628,17072.92067719542,12584.60713927699,140.54989408817454,258.46884742293526,48.59646521159324,4690.976698825734,5534.20565381955,4025.6300444718036,283327.9684,64832.75,573100.75,191994.93319999997,46441.75,384427.625,46537.41631434893,-40944.875357027864,157408.34488037275,-5658.344706039003,-37195.41391489096,34310.2487159436,5217.0018567283805,1853.3795822767315,9778.262402387398,1860.146234063628,-119.39286072301002,4368.92067719542,1692.2558338886756,561.7023466093706,3225.349800905201,563.9766988257343,-101.36995552819644,1407.2056538195502
2021-01-19,8621,568101,0.0924603174603174,5211,380205,0.0771074710347582,142,12846,44,4171,625749.1174063786,525368.7495123988,753172.7908150911,376448.8665628816,340262.084655357,422384.6683161368,51488.4944,49298.0,89069.0,16197.75,894296.4628,1220806.25,641240.0,604307.1928,565721.0,823402.625,433947.875,37318.2596,35770.0,64574.625,11777.75,604307.1928,565721.0,823402.625,433947.875,997.5819506894679,1825.2418475577742,339.7887824674276,18918.583807417894,24313.48882001562,14907.009520814281,335.29916892428685,613.4855127931838,114.20705466090472,6154.55500281296,7967.846798939876,4806.217130975374,446.4866314321899,820.3509906379543,153.97075895556839,15010.632865495882,17893.960888742025,12739.23760596563,150.06947183792815,275.7297334790543,51.75140496553988,4841.046170663668,5810.167042650544,4077.603185059644,326195.4628,73139.0,652705.25,224102.19279999996,53742.875,443197.625,57648.11740637862,-42732.25048760115,185071.7908150911,-3756.1334371183766,-39942.915344643,42179.66831613681,6072.583807417894,2061.009520814281,11467.48882001562,2164.6328654958816,-106.76239403436921,5047.960888742025,1983.55500281296,635.217130975374,3796.846798939876,670.0461706636679,-93.39681494035585,1639.1670426505443
2021-01-20,8360,576461,0.0923032758830089,5058,385263,0.0773323548298321,128,12974,54,4225,646732.0501865358,532723.4765765611,792011.2794598134,384013.14260835084,342913.4387980446,436385.8116441712,51590.2988,50814.0,87400.5,16136.875,945886.7616,1307584.25,658161.75,641564.4172,602843.5,886181.125,445927.75,37257.2244,36793.5,63107.875,11665.5,641564.4172,602843.5,886181.125,445927.75,1022.7655203291064,1838.8432258229727,336.9607011127998,19941.349327747,26163.558607538354,15269.826309609169,343.7636664674531,618.0570979400422,113.25650285190136,6498.318669280412,8589.677277909122,4928.164172690218,474.7993561671975,873.205827611589,163.20792527971332,15485.43222166307,18772.793680908257,12905.659512351955,159.58571565836706,293.4948733742177,54.85612652707234,5000.63188632202,6105.553205795426,4133.5395688961435,369425.76159999997,81700.75,731123.25,256301.41720000003,60664.75,500918.125,70271.05018653581,-43737.52342343889,215550.27945981338,-1249.8573916491587,-42349.561201955425,51122.81164417119,6967.349327747001,2295.8263096091687,13189.558607538354,2511.43222166307,-68.34048764804538,5798.793680908257,2273.318669280412,703.164172690218,4364.6772779091225,775.6318863220204,-91.46043110385654,1880.553205795426
2021-01-21,7270,583731,0.0907796813345986,4332,389595,0.0752645203884844,117,13091,49,4274,668949.8102581941,540399.4805277841,833434.0372689101,392022.569701066,345680.61216801644,451318.57523425046,46831.9356,47473.5,77819.25,14664.0,992718.6972,1384373.25,672946.0,675224.3628,637533.5,941899.875,456512.0,33659.9456,34203.0,55952.625,10513.75,675224.3628,637533.5,941899.875,456512.0,1012.0926860487066,1784.4142767400936,326.7450199000981,20953.442013795695,27965.08522109349,15608.127241398695,340.1763998155144,599.7628802266019,109.82289078800328,6838.495069095933,9195.191818245923,5041.871143026784,502.7408841283221,925.0454667366146,172.69623869226865,15988.173105791388,19710.103014378954,13079.351234675163,168.97719582434675,310.918793187465,58.04526161469514,5169.609082146387,6420.594030582296,4191.919424409517,408987.69720000005,89215.0,800642.25,285629.3628,66917.0,552304.875,85218.8102581941,-43331.51947221591,249703.0372689101,2427.569701066008,-43914.387831983564,61723.57523425046,7862.442013795695,2517.1272413986953,14874.08522109349,2897.1731057913876,-11.648765324836859,6619.103014378954,2564.495069095933,767.871143026784,4921.191818245923,895.6090821463868,-82.08057559048302,2146.594030582296
2021-01-22,7388,591119,0.0885787593218713,4187,393782,0.0708400304542762,104,13195,66,4340,692368.8219168901,548499.5609244365,876420.9936515305,400465.0439135338,348600.6636571349,466815.22710076993,49888.1116,51802.0,81472.875,15630.125,1042606.8088,1465415.875,688733.625,710576.984,675035.5,999203.75,467677.875,35352.6212,36692.5,57731.875,11038.0,710576.984,675035.5,999203.75,467677.875,1028.7338702478523,1775.3752454637652,325.3546172795417,21982.17588404358,29757.33126418607,15949.409861504837,345.7696999228732,596.7247542132563,109.35555991576716,7184.264769018791,9797.587048373585,5156.580294300827,529.9226649639533,974.2529067543333,181.8901479276061,16518.095770755353,20682.80685077296,13262.638909354762,178.11331593735628,327.45799954683184,61.13544395374348,5347.722398083733,6747.53136914076,4253.524593740878,451487.8088,97614.625,874296.875,316794.98400000005,73895.875,605421.75,101249.8219168901,-42619.43907556345,285301.9936515305,6683.043913533795,-45181.33634286508,73033.22710076993,8787.17588404358,2754.409861504837,16562.33126418607,3323.0957707553534,67.63890935476229,7487.806850772959,2844.2647690187914,816.5802943008266,5457.587048373585,1007.7223980837334,-86.47540625912188,2407.53136914076
2021-01-23,2447,593566,0.0813335106029382,1547,395329,0.0711624269745618,117,13312,52,4392,716936.1188841364,556954.6198279337,921375.5527805901,409321.4710821426,351648.68369307736,483021.1930788022,18349.6892,19491.0,29494.375,5709.125,1060956.498,1494726.75,694414.125,723835.9436,689087.5,1020532.125,471826.75,13258.9596,14053.0,21302.0,4132.5,723835.9436,689087.5,1020532.125,471826.75,978.780969932165,1668.424554612458,308.81040196537117,22960.95685397576,31408.829495307044,16265.115632785133,328.97993548333704,560.7773538683151,103.79485220497516,7513.244704502134,10352.67526342407,5262.69276221559,555.9059310264546,1023.1796612055546,190.7997923970459,17074.00170178179,21700.033372674763,13453.958996293832,186.84660096789858,343.90286414599484,64.13008152106246,5534.568999051634,7089.433312300105,4317.829552451144,467390.4979999999,100848.125,901160.75,328506.9436,76497.75,625203.125,123370.11888413643,-36611.380172066274,327809.55278059014,13992.471082142612,-43680.31630692264,87692.1930788022,9648.95685397576,2953.115632785133,18096.829495307044,3762.001701781792,141.95899629383166,8388.033372674763,3121.2447045021336,870.6927622155899,5960.675263424069,1142.568999051634,-74.17044754885592,2697.433312300105
