,Date,True_Daily_Cases,True_Cumulative_Cases,True_Daily_Pct_Positive,True_Daily_Cases_Chld,True_Cumulative_Cases_Chld,True_Daily_Pct_Positive_Chld,Mean_Daily_Cases,Median_Daily_Cases,High_Daily_Cases,Low_Daily_Cases,Mean_Cumulative_Cases,High_Cumulative_Cases,Low_Cumulative_Cases,Mean_Prob,High_Prob,Low_Prob,Mean_Daily_Cases_NoVac,Median_Daily_Cases_NoVac,High_Daily_Cases_NoVac,Low_Daily_Cases_NoVac,Mean_Cumulative_Cases_NoVac,High_Cumulative_Cases_NoVac,Low_Cumulative_Cases_NoVac,Mean_Prob_NoVac,High_Prob_NoVac,Low_Prob_NoVac,Mean_Daily_Cases_OnlyOneDose,Median_Daily_Cases_OnlyOneDose,High_Daily_Cases_OnlyOneDose,Low_Daily_Cases_OnlyOneDose,Mean_Cumulative_Cases_OnlyOneDose,Median_Cumulative_Cases_OnlyOneDose,High_Cumulative_Cases_OnlyOneDose,Low_Cumulative_Cases_OnlyOneDose,Mean_Prob_OnlyOneDose,Median_Prob_OnlyOneDose,High_Prob_OnlyOneDose,Low_Prob_OnlyOneDose,Mean_Daily_Children,Median_Daily_Children,High_Daily_Children,Low_Daily_Children,Mean_Cumulative_Cases_Children,Median_Cumulative_Cases_Children,High_Cumulative_Cases_Children,Low_Cumulative_Cases_Children,Mean_Daily_Children_NoVac,Median_Daily_Children_NoVac,High_Daily_Children_NoVac,Low_Daily_Children_NoVac,Mean_Cumulative_Cases_Children_NoVac,Median_Cumulative_Cases_Children_NoVac,High_Cumulative_Cases_Children_NoVac,Low_Cumulative_Cases_Children_NoVac,Diff_NoVac_Mean,Diff_NoVac_Low,Diff_NoVac_High,Diff_OneDose_Mean,Diff_OneDose_Low,Diff_OneDose_High,Diff_NoVac_Chld_Mean,Diff_NoVac_Chld_Low,Diff_NoVac_Chld_High
0,2021-01-08,8160,480338,0.07119238520664113,5149,326236,0.0695237709455719,9444.561353324127,9627.0,11863.0,6038.4,481622.56135332416,484041.0,478216.4,0.08240133149422392,0.10350606713203417,0.052426492660121116,12912.578516472677,12935.5,17268.15,8423.85,485090.57851647265,489446.14999999997,480601.85,0.11265012568715647,0.15068169354612718,0.07336986908509735,9568.459854014598,9747.5,11989.0,6249.949999999999,481746.4598540146,481925.5,484167.0,478427.95,0.08348627536013078,0.08503875627501432,0.10460774019940437,0.05444843673355794,6102.240875912409,6218.0,7680.15,3891.7,327189.2408759124,327305.0,328767.15,324978.7,8343.50700335372,8364.0,11168.0,5444.25,329430.50700335373,329451.0,332255.0,326531.25,4752.578516472655,263.8499999999767,9108.149999999965,1408.4598540146253,-1910.0499999999884,3829.0,3194.507003353734,295.25,6019.0
1,2021-01-09,5156,485494,0.06566814407254573,3267,329503,0.06549981955972572,6777.688893272835,6872.0,8328.15,4815.85,488400.250246597,492342.0,483076.4,0.0863286992663202,0.1059437161699407,0.061274496141353885,11997.398204774117,11261.5,19808.449999999997,6958.549999999999,497087.9767212468,508756.45,487962.4,0.15279937100032573,0.25283957282104375,0.08877329594014409,6987.324324324324,7062.5,8606.0,5123.0,488733.78417833894,488998.5,492687.75,483567.55000000005,0.08900045434418184,0.09000798152096702,0.10950210871259877,0.06533497547426467,4304.084434799764,4362.0,5294.299999999999,3061.85,331493.32531071216,331667.0,334022.14999999997,328087.55000000005,7621.206253698954,7156.0,12611.15,4422.85,337051.71325705264,336636.5,344511.75,331216.95,11593.976721246785,2468.4000000000233,23262.45000000001,3239.784178338945,-1926.4499999999534,7193.75,7548.713257052645,1713.9500000000116,15008.75
2,2021-01-10,6937,492431,0.07343771503583489,4277,333780,0.07195249150432355,8184.05129216808,8289.0,9856.0,6168.949999999999,496584.301538765,502071.0,489374.95,0.08663707810845524,0.1042686720246076,0.0652442169056137,19135.081574275006,16630.0,37558.899999999965,9216.4,516223.0582955218,545679.55,497561.5,0.20256226528881385,0.39732035517954506,0.09768942617986967,8621.939534424935,8682.0,10551.15,6594.0,497355.72371276387,497673.0,502998.15,490649.85,0.09125909653244338,0.09186776008947482,0.11159584429486877,0.07012056029655622,5149.6621621621625,5215.0,6214.0,3887.7,336642.98747287435,336879.5,340156.3,332051.1,12041.084533438549,10472.5,23616.09999999999,5793.7,349092.7977904912,347253.5,367880.65,337282.95,23792.058295521827,5130.5,53248.55000000005,4924.7237127638655,-1781.1500000000233,10567.150000000023,15312.797790491197,3502.9500000000116,34100.65000000002
3,2021-01-11,9712,502143,0.07864286003481923,5932,339712,0.07354144454637873,10637.061156046557,10739.0,12638.15,8329.7,507221.3626948116,514549.15,498003.5,0.08612669195025464,0.10233734767312244,0.06750688944350783,31871.2609982245,26143.5,69243.24999999997,12971.7,548094.3192937463,614053.5499999998,510874.7,0.25808560109447365,0.5614721963252242,0.10524548256882432,11482.242059577826,11458.5,14366.15,8885.0,508837.9657723417,509169.0,516638.05000000005,500197.7,0.09296615969643494,0.09271405674655062,0.11623821332167365,0.0720015218311308,6947.646182679029,7014.0,8261.0,5430.849999999999,343590.6336555534,343888.5,348301.44999999995,337660.7,20818.59331229039,17100.0,45264.1,8468.65,369911.39110278164,364362.5,412555.85,345953.85,45951.31929374626,8731.700000000012,111910.54999999981,6694.965772341704,-1945.2999999999884,14495.050000000047,30199.391102781636,6241.849999999977,72843.84999999998
4,2021-01-12,9295,511438,0.07867317832869222,5753,345465,0.07308552263834545,10120.001578220556,10187.0,11958.15,8089.0,517341.3642730322,526279.15,506427.85,0.08566498125868563,0.10112830621715845,0.06854794830688613,37021.575162753994,29359.0,83892.65,13190.65,585115.8944565003,697288.3,524243.55,0.31333663770695586,0.71020367544868,0.11140576286127832,11210.053363582561,11045.0,14656.449999999999,8610.699999999999,520048.01913592423,520313.5,530220.3,509299.1,0.09487425538106306,0.09351109095857145,0.12387653067689078,0.0729617762508582,6743.393272834879,6792.0,7968.0,5383.85,350334.0269283882,350693.5,356117.0,343253.1,24664.167981850464,19577.5,55898.45,8791.85,394575.5590846321,384168.5,468004.6,354885.0,73677.8944565003,12805.549999999988,185850.30000000005,8610.01913592423,-2138.9000000000233,18782.300000000047,49110.559084632085,9420.0,122539.59999999998
5,2021-01-13,9470,520908,0.07935443865323702,5819,351284,0.07293899397084445,10189.15032550799,10211.5,12018.449999999999,8231.0,527530.5145985401,537997.3,515146.05,0.08537930711011654,0.10056381507406258,0.06908364547237245,43420.937068455314,34133.0,97697.4,13923.5,628536.8315249556,793384.7,538638.2,0.36382833153734545,0.8182919079305082,0.11687965417980929,11571.715821661077,11238.5,15903.049999999997,8737.7,531619.7349575853,531687.5,545101.6,518528.85,0.09697254089751602,0.09420050097827129,0.13318764206285275,0.07328477327374512,6810.730814756363,6826.0,8036.0,5501.85,357144.7577431446,357524.0,363953.15,349134.85,29027.351252712568,22834.0,65337.19999999999,9345.85,423602.9103373446,406952.0,532069.15,364467.8,107628.83152495557,17730.199999999953,272476.69999999995,10711.734957585344,-2379.1500000000233,24193.599999999977,72318.91033734463,13183.799999999988,180785.15000000002
6,2021-01-14,9295,530203,0.07630485822647644,5834,357118,0.07189864681669172,10376.152002367331,10384.0,12240.0,8452.0,537906.6666009075,549895.3,524060.5,0.08518690939762076,0.1004025315216723,0.06935523865177015,49679.602682974946,39612.5,108003.34999999998,14852.949999999999,678216.4342079306,900351.4500000001,554072.75,0.407832087853369,0.8869894576362463,0.12195795899386991,12064.089465377787,11552.5,17418.3,8935.85,543683.8244229631,543454.5,561766.75,527984.55,0.09904882273493316,0.09480294597053651,0.1431424219363273,0.07333472683961446,6912.175577036891,6913.0,8158.15,5620.85,364056.9333201815,364442.0,371920.44999999995,355015.85000000003,33091.9974353916,26324.0,71968.05,9895.85,456694.9077727362,433814.0,603448.2,374740.60000000003,148013.43420793058,23869.75,370148.45000000007,13480.82442296308,-2218.4499999999534,31563.75,99576.90777273622,17622.600000000035,246330.19999999995
7,2021-01-15,8427,538630,0.08467729780242969,5071,362189,0.07784054278083075,8457.514795817715,8445.0,9992.3,6921.0,546364.1813967252,559580.05,531392.65,0.0849905318603949,0.10029612603832712,0.06954694999970813,44326.852929571905,36416.0,92494.04999999999,12545.400000000001,722543.2871375025,992701.6999999998,566798.35,0.44541681821529433,0.9293291558399945,0.1259095114895683,10040.859143815349,9473.0,15101.499999999996,7307.0,553724.6835667784,553084.5,576198.4,535627.85,0.10091504273841287,0.09514965894181193,0.15208368113381812,0.07334489071543893,5536.362102978891,5528.0,6545.15,4529.85,369593.29542316037,369942.0,378235.05000000005,359850.85,29015.504438745316,23830.0,60529.799999999996,8215.85,485710.41221148154,457418.0,663827.75,383107.25,183913.28713750246,28168.349999999977,454071.69999999984,15094.683566778433,-3002.1500000000233,37568.40000000002,123521.41221148154,20918.25,301638.75
8,2021-01-16,5088,543718,0.0725044531528322,3203,365392,0.07067519858781994,5946.640264351943,5929.5,7067.0,4874.849999999999,552310.8216610771,566406.5,536510.35,0.08472971554359707,0.1003541709839254,0.06953049620565414,33500.67715525745,28498.0,66966.65,9083.7,756043.9642927599,1059532.4,575888.05,0.4773690378580396,0.9543290633204112,0.1296113694920215,7190.439435786151,6704.0,11188.599999999999,5142.849999999999,560915.1230025647,560002.0,586933.05,541019.4,0.10246523727369211,0.09553983726628144,0.15955461786905925,0.07328201212327813,3839.8496744920103,3826.0,4555.0,3148.0,373433.1450976524,373796.5,382620.0,363123.0,21634.959163543106,18445.5,43230.75,5877.0,507345.37137502467,475563.0,707347.45,388998.10000000003,212325.9642927599,32170.050000000047,515814.3999999999,17197.12300256465,-2698.5999999999767,43215.05000000005,141953.37137502467,23606.100000000035,341955.44999999995
9,2021-01-17,5648,549366,0.09010417497567123,3574,368966,0.08308922676337936,5288.825113434603,5263.0,6300.15,4345.85,557599.6467745118,572496.45,541035.5,0.08438068465526535,0.10025413426905254,0.06942365965440275,31630.926711382916,27957.0,60755.6,8347.85,787674.8910041428,1120394.0499999998,584571.45,0.5046080550762013,0.9695028670383719,0.13287345494564198,6497.921878082462,6005.0,10407.449999999999,4584.85,567413.0448806471,566160.5,596689.85,545685.25,0.10366559329060558,0.0957263429881173,0.1659436140005684,0.07314281583493008,3628.083645689485,3610.0,4320.15,2983.0,377061.22874334187,377374.0,386792.89999999997,366250.9,21704.910929177353,19180.0,41692.95,5734.699999999999,529050.282304202,494741.0,749127.1,394932.55,238308.89100414282,35205.44999999995,571028.0499999998,18047.044880647096,-3680.75,47323.84999999998,160084.28230420197,25966.54999999999,380161.1
10,2021-01-18,10114,559480,0.1020729467331409,6028,374994,0.0882460583524865,8318.077234168475,8265.0,9934.0,6849.7,565917.7240086802,582081.15,548152.4,0.0839437710409823,0.10015468292825784,0.06917785889958422,52312.81061353324,47728.0,96955.9,13490.25,839987.7016176761,1217734.3,598722.7,0.5279658869400952,0.9786465806298277,0.13611613683129387,10357.556125468534,9489.5,16936.899999999998,7233.7,577770.6010061156,575838.5,612634.8,553120.0,0.10452815921543894,0.09580879832494946,0.1710436415821455,0.07299444628684054,5733.096468731505,5693.5,6851.0,4721.85,382794.3252120734,383071.5,393409.05,371194.85,36065.63069638982,32955.5,66843.15,9315.0,565115.9130005918,526968.5,815877.4,404706.5,280507.70161767607,39242.69999999995,658254.3,18290.601006115554,-6360.0,53154.80000000005,190121.9130005918,29712.5,440883.4
11,2021-01-19,8621,568101,0.09246031746031746,5211,380205,0.07710747103475829,7778.543302426514,7723.0,9322.15,6416.0,573696.2673111068,591085.15,554832.3,0.0834318231070698,0.0999273182398779,0.06884679165782562,51108.2791477609,48341.0,91837.05,12926.599999999999,891095.980765437,1309049.95,612332.8,0.5481325644077585,0.9849429632208675,0.13876630705422094,9799.237423554941,8934.0,16347.449999999999,6796.0,587569.8384296705,584893.5,627878.1499999999,560098.7,0.10508815296381575,0.09570154968853206,0.17529504305707264,0.07270200661621115,5638.377293351746,5594.0,6762.0,4647.85,388432.70250542514,388684.0,399934.0,376029.25,37041.925527717496,34993.0,66561.0,9356.7,602157.8385283094,562488.5,882187.5,414491.85,322994.980765437,44231.80000000005,740948.95,19468.838429670548,-8002.300000000047,59777.14999999991,221952.83852830937,34286.84999999998,501982.5
12,2021-01-20,8360,576461,0.0923032758830089,5058,385263,0.07733235482983213,7503.346123495759,7447.0,9001.599999999999,6196.0,581199.6134346025,599747.3,561265.7,0.08286245220448617,0.09941416746460557,0.06844553634635354,51233.89060958769,49978.0,89557.15,12778.4,942329.8713750247,1398236.6,625544.35,0.5656622910840213,0.988856811298283,0.1409648119766591,9544.727165121325,8648.5,16061.499999999996,6571.0,597114.5655947919,593741.5,643725.0999999999,566831.8,0.10538924673878881,0.09550942635431266,0.17724605499211712,0.07248004577146647,5420.125271256658,5374.0,6513.0,4482.0,393852.8277766818,394053.5,406201.15,380643.55,36995.73219569935,36121.0,64679.15,9213.7,639153.5707240087,598460.5,946594.15,423959.6,365868.87137502467,49083.34999999998,821775.6000000001,20653.5655947919,-9629.199999999953,67264.09999999986,253890.57072400872,38696.59999999998,561331.15
13,2021-01-21,7270,583731,0.09077968133459867,4332,389595,0.07526452038848445,6586.649339120142,6525.5,7918.15,5446.0,587786.2627737226,607352.1,566859.7,0.08225365314390272,0.09894670056282259,0.06798029609450397,46528.38774906293,46738.5,79395.3,11447.0,988858.2591240876,1477511.35,636994.5,0.5809952655495554,0.9914926877797312,0.1430601998457285,8446.758433616098,7617.0,14326.15,5785.0,605561.3240284079,601477.5,658241.15,572754.0499999999,0.10547540204702,0.09513862746561441,0.17853660245039923,0.07225836311838167,4734.039751430262,4691.5,5707.0,3910.0,398586.8675281121,398689.0,411720.14999999997,384630.0,33440.60860130203,33651.5,57067.15,8235.85,672594.1793253107,631982.0,1003510.6499999999,432083.55000000005,405127.25912408764,53263.5,893780.3500000001,21830.324028407922,-10976.95000000007,74510.15000000002,282999.17932531075,42488.55000000005,613915.6499999999
14,2021-01-22,7388,591119,0.08857875932187133,4187,393782,0.07084003045427628,6807.413395146972,6734.0,8196.15,5621.0,594593.6761688696,615322.6,572765.55,0.08162166587545314,0.09821541765615377,0.06746097772068795,49582.84040244624,51156.0,82863.15,12088.05,1038441.0995265339,1560070.5499999998,649030.65,0.5944821026381557,0.9934601748564191,0.1449778734132783,8790.133754192148,7904.5,14987.3,6004.0,614351.4577826001,609471.0,672203.3,578814.55,0.1053869517473654,0.09464692499233718,0.17957136514526045,0.07200583062684399,4825.0990333399095,4770.5,5824.0,3982.85,403411.96656145196,403492.0,417343.9,388766.25,35136.4280923259,36211.5,58721.149999999994,8561.7,707730.6074176367,668016.0,1061855.3,440882.9,447322.09952653386,57911.65000000002,968951.5499999998,23232.457782600075,-12304.449999999953,81084.30000000005,313948.60741763667,47100.90000000002,668073.3
15,2021-01-23,2447,593566,0.08133351060293824,1547,395329,0.07116242697456185,2436.5773328072596,2412.0,2945.1499999999996,2004.0,597030.2535016768,618156.8500000001,574846.8,0.08098015024831001,0.09759128987589459,0.06688387480774659,18244.813572696785,19272.0,29929.0,4422.25,1056685.9130992307,1589924.45,653732.4,0.6064050507102862,0.9948759494443706,0.14678102942714155,3163.7752022095087,2837.5,5417.299999999999,2159.0,617515.2329848097,612324.0,677771.15,581006.65,0.10515909640576956,0.09419724476397884,0.18027087227781882,0.07168090391764216,1760.4925034523574,1742.0,2131.0,1447.0,405172.4590649043,405252.0,419404.6,390294.95,13181.946537778655,13916.0,21628.0,3184.85,720912.5539554153,682202.5,1083491.2,444069.0,463119.91309923073,60166.40000000002,996358.45,23949.23298480967,-12559.349999999977,84205.15000000002,325583.55395541526,48740.0,688162.2
16,2021-01-24,4945,598511,0.09382055514447796,3100,398429,0.08388580706264376,4235.242059577826,4190.0,5128.299999999999,3479.85,601265.4955612547,623103.3,578481.55,0.08034004875234818,0.09715414223310417,0.06618024469919533,32520.70122312093,34998.5,52489.149999999994,7821.099999999999,1089206.6143223515,1642438.0999999999,661528.7,0.6169931621247103,0.9958551873030663,0.14858387818516564,5524.223614125074,4942.5,9536.3,3755.85,623039.4565989347,617387.5,687012.4500000001,584827.2,0.10482164181042276,0.0937263018365759,0.1805839753184592,0.07138892822750284,2969.0478398106134,2935.0,3596.0,2434.0,408141.5069047149,408185.0,422904.60000000003,392828.0,22800.376208325113,24533.5,36802.15,5503.0,743712.9301637404,707039.5,1120145.65,449745.0,490695.6143223515,63017.69999999995,1043927.0999999999,24528.456598934717,-13683.800000000047,88501.45000000007,345283.9301637404,51316.0,721716.6499999999
17,2021-01-25,8724,607235,0.09865876552145296,4922,403351,0.07998699926870886,7048.20368909055,6973.5,8565.15,5779.0,608313.6992503452,631408.9500000001,584510.55,0.07970979965074831,0.09658455392103601,0.06536567956804329,55392.139277964096,60497.5,88125.15,13260.1,1144598.7536003157,1730568.35,675352.15,0.6264334792317406,0.9966255295154751,0.15003648670039257,9231.984119155652,8245.0,15985.549999999994,6278.699999999999,632271.4407180904,625815.0,702940.45,591223.8,0.10439934779716456,0.09328344554488785,0.1808171057953815,0.0710727605702956,4904.769579798777,4851.5,5947.15,4010.85,413046.2764845137,413027.5,428731.9,397048.7,38548.98757151312,42102.5,61326.0,9228.4,782261.9177352535,748287.0,1181453.5,459070.04999999993,537363.7536003157,68117.15000000002,1123333.35,25036.440718090395,-16011.199999999953,95705.44999999995,378910.91773525346,55719.04999999993,778102.5
18,2021-01-26,7787,615022,0.09637734074284936,4531,407882,0.0788329041686965,6390.338232392977,6316.0,7775.15,5202.0,614704.0374827383,639079.3,590073.95,0.07909567880750762,0.09615328871810032,0.06454431504608002,51295.44229631091,56807.0,80568.3,12226.449999999999,1195894.1958966265,1810644.4999999998,688062.95,0.6348803479087206,0.9971417422122224,0.15118989343144595,8395.821266521996,7495.0,14596.349999999997,5706.0,640667.2619846123,633430.5,717035.7,597067.1,0.10391252824755537,0.09276096718196297,0.18080959825478632,0.07074560278345483,4546.374235549418,4493.0,5541.15,3705.0,417592.65072006313,417498.0,434184.75,400969.8,36490.27056618663,40407.5,57314.0,8679.8,818752.1883014401,788846.5,1238765.45,468208.5,580872.1958966265,73040.94999999995,1195622.4999999998,25645.261984612327,-17954.900000000023,102013.69999999995,410870.1883014401,60326.5,830883.45
19,2021-01-27,7726,622748,0.09290524290524292,4562,412444,0.07688677655307244,6529.376306963898,6451.5,7975.15,5286.0,621233.4137897021,646868.35,595539.25,0.07850216855019165,0.0956904094246637,0.06363512068486508,53426.61353324127,60017.0,82961.0,12672.0,1249320.809429868,1893206.9000000001,700840.55,0.6424626493674367,0.997560972969,0.15225676356923756,8597.53807457092,7667.0,15015.749999999998,5855.85,649264.8000591833,641208.5,731415.7499999999,603109.4,0.10337771377657817,0.09224490707034443,0.18021236997891807,0.07045320763598209,4657.777964095482,4609.0,5685.0,3765.0,422250.4286841586,422149.5,439781.0,404872.7,38119.662458078514,42807.0,59191.0,9064.1,856871.8507595187,831259.5,1297755.45,477448.1,626572.8094298679,78092.55000000005,1270458.9000000001,26516.800059183268,-19638.599999999977,108667.74999999988,444427.8507595187,65004.09999999998,885311.45
